Path_way_name	Normal_5_P2	Normal_6_P	Normal_9_P	Normal_10_P	Normal_11_P	Normal_12_P2	Normal_13_P	Normal_14_P	Normal_15_P2	Normal_16_P2	MM7_P	MM8_P	MM9_P	MM12_P	MM13_P	MM15_P	MM20_P	MM21_P	MM22_P	HL1_P	HL2_P	HL3_P	HL4_P	HL5_P	HL6_P	HL7_P	HL8_P
AHR_Pathway	-2.040471	-2.920055	-2.139212	-3.903568	-2.920055	11.515191	-2.920055	-3.974752	8.657644	0.645333	-1.300991	-1.580987	-1.166718	0.741817	-2.920055	-0.970726	4.703016	-1.465770	8.582923	5.715432	-2.920055	-2.104955	-2.920055	13.845232	-3.610848	2.166002	2.080916
AHR_Pathway_AHR_Degradation	-1.546914	-2.426499	-1.645655	-2.426499	-2.426499	9.225558	-2.426499	-0.735208	5.372416	-0.964203	-2.426499	-2.426499	-1.843406	-1.505509	-2.426499	-1.987830	2.337921	-2.426499	5.565826	0.930370	-2.426499	-0.796298	-2.426499	10.126814	-2.426499	1.124221	0.055693
AHR_Pathway_C_Myc_Expression	-2.718838	-2.718838	-2.718838	-2.718838	-2.718838	13.980303	-2.718838	-2.718838	7.770402	-2.718838	-2.718838	-2.718838	-2.718838	-1.525945	-2.718838	-2.192436	2.998465	-2.718838	8.634431	2.043884	-2.718838	-2.718838	-2.718838	15.190862	-2.718838	2.052107	1.004450
AHR_Pathway_Cath_D_Expression	0.585521	0.585521	0.585521	-3.348531	0.585521	6.151901	0.585521	-10.398428	4.081934	0.585521	0.585521	-3.475052	-0.810183	0.330366	0.585521	0.760988	2.491288	0.585521	-0.698284	-0.030156	0.585521	-2.674880	0.585521	6.555421	-2.177650	2.175836	1.826617
AHR_Pathway_PS2_Gene_Expression	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
AKT_Pathway	-0.406764	-4.650707	9.069046	-0.058038	1.531554	-1.961687	-27.912677	2.832531	9.783997	11.772745	8.096517	-0.548417	10.487751	-1.792381	0.618889	-7.426742	-13.741157	-19.608066	-16.027356	9.486100	12.091908	46.339896	-10.299538	1.197615	-6.827289	34.186774	13.300392
AKT_Pathway_Aggregation_._Neurodegeneration	-3.872735	-5.438122	3.563202	-2.460552	6.206030	1.562160	-5.862129	0.384288	3.256432	2.661426	1.802450	-2.315935	2.236908	2.248082	7.102581	-1.107391	-4.188233	-5.091198	-3.180023	-0.132946	4.822417	13.732004	-2.355393	-1.502411	-5.236598	14.698321	4.179531
AKT_Pathway_Apoptosis_Inhibition	-1.617686	-3.183073	3.475720	-0.205503	1.565812	0.730949	-5.744719	-5.744719	4.309479	6.413742	2.387770	-0.060887	2.716488	0.819517	-0.419357	1.059362	5.135775	5.075029	-2.990579	1.870086	11.181344	12.029047	-1.956886	6.921461	-2.981549	9.464683	2.912512
AKT_Pathway_Blocks_Apoptosis	-0.463873	-3.310084	0.019313	1.995635	3.558868	1.884761	2.262111	-4.590907	-1.094493	-0.261332	3.813364	4.010426	1.315121	2.682239	1.999566	1.060889	-2.685139	0.583817	-2.366880	11.478283	2.004174	7.749747	3.596127	-0.382134	-1.135128	8.343300	2.085755
AKT_Pathway_Cardiovascular_Homeostasis	-3.383465	4.830617	8.591799	-1.971282	-0.199967	-1.034830	-7.510498	-1.358338	-0.517671	2.553635	0.621991	7.279153	2.355710	-0.946262	-2.185136	-2.510993	-3.698962	7.573508	-4.756358	8.100895	8.344528	5.372667	-0.009581	5.983252	-0.602572	10.249311	4.870021
