Path_way_name	Normal_1_S	Normal_2_S	Normal_3_S	Normal_4_S	Normal_5_S	Normal_6_S	Normal_7_S	Normal_9_S	Normal_10_S	Normal_11_S	Normal_15_S	Normal_16_S	MM1_S	MM2_S	MM3_S	MM4_S	MM5_S	MM6_S	MM7_S	MM8_S	MM9_S	MM10_S	MM11_S	MM12_S	MM13_S	MM16_S	MM17_S	HL1_S	HL2_S	HL3_S	HL5_S	HL6_S	HL7_S	HL8_S	HL10_S	HL11_S
AHR_Pathway	8.440447	0.944514	0.229572	5.140299	-1.440909	5.966358	1.714678	-3.760724	-6.146989	-3.088848	-6.214279	-1.784119	10.426171	11.004246	5.622535	9.646182	5.986250	-3.174240	-3.326450	-0.920511	7.755662	-2.977161	7.822084	0.928694	-4.763139	-0.458795	-4.388084	2.467586	-5.838562	3.520793	-0.851037	-5.408734	-0.535747	-3.191908	2.617419	-2.776618
AHR_Pathway_AHR_Degradation	5.356408	0.307255	-0.205780	3.701812	-1.034193	3.832921	1.578337	-3.484201	-3.263822	-1.116782	-4.214116	-1.457839	6.687778	7.265866	3.787403	6.586781	3.478749	-4.214116	-1.511500	-0.033132	7.588303	-3.537120	6.966940	1.443682	-1.512149	-0.125691	-2.309749	1.843690	-4.214116	4.288771	0.493990	-3.400895	0.953714	-0.847658	2.202101	-2.974089
AHR_Pathway_C_Myc_Expression	7.817619	0.077638	-0.956559	5.445284	-1.713132	5.445849	1.865000	-5.019628	-5.019628	-1.675577	-5.019628	-1.247238	9.541094	10.078972	5.690531	8.900319	4.211810	-5.019628	-5.019628	-0.585631	12.684000	-5.019628	11.751957	3.467070	-2.121355	0.645505	-5.019628	2.962851	-5.019628	5.183836	2.042530	-5.019628	1.181768	-5.019628	3.413772	-5.019628
AHR_Pathway_Cath_D_Expression	0.486971	-0.883581	-0.194780	0.940550	-0.828631	0.243011	0.707156	2.545064	-2.793802	-0.538608	1.599289	-1.282639	3.837993	2.355762	1.694760	1.787021	1.415220	9.116993	-1.854610	2.121055	3.119574	-2.549937	3.121558	-0.299654	-3.343645	0.036100	9.116993	6.456166	-0.013454	3.855736	1.190180	-0.048428	2.299773	-0.042639	4.519109	9.116993
AHR_Pathway_PS2_Gene_Expression	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
AKT_Pathway	17.182101	1.032454	-5.265206	8.629872	-7.361070	4.896319	3.190897	-6.562429	-12.521725	-15.149650	10.123445	1.804991	5.273866	13.520701	1.938031	14.307911	5.398633	-16.080229	5.864405	-18.295913	-19.552274	-29.979465	-46.355017	4.443598	-14.904527	2.750630	3.220470	8.744497	2.121660	-30.985721	-6.865329	1.998178	-12.466348	-7.443705	-12.394548	-47.743019
AKT_Pathway_Aggregation_._Neurodegeneration	1.897142	1.793973	1.511110	1.333097	-0.234516	-1.032913	2.863509	-1.281833	-2.386570	-0.439519	-2.142649	-1.880832	0.797270	3.911189	2.240686	4.146371	1.743538	1.630315	0.453098	-1.151031	-6.169616	-6.569919	-8.790635	0.518372	4.703525	-1.798165	1.002534	2.752718	3.276912	-3.946478	3.064960	-3.391868	-0.126574	2.139368	1.787645	-3.208296
AKT_Pathway_Apoptosis_Inhibition	10.038193	-3.732896	0.628706	4.597898	-1.659307	5.872680	1.190298	-1.901878	-6.397948	-7.039321	-2.274220	0.677796	6.019201	7.454864	2.228249	5.262982	4.477752	-6.584279	-10.264799	-2.068209	-10.940513	-6.158662	-2.820499	-0.021469	-4.231910	-3.396691	10.516537	-2.080858	0.400770	-0.110060	-0.838271	-8.947887	-10.549567	2.363034	-1.732442	-3.982039
AKT_Pathway_Blocks_Apoptosis	2.445999	0.027145	-0.245479	1.176514	0.024087	0.838434	-0.213129	0.975852	-0.915294	-2.023248	-1.081640	-1.009241	2.080688	3.809772	0.357701	2.465880	0.995668	1.644818	1.488750	-3.200139	-0.009572	-2.738052	-4.009116	-0.159590	1.833638	-0.113476	-0.554902	0.373075	0.558666	-1.562633	4.405328	0.631020	-0.658481	-1.526908	0.585266	3.372590
AKT_Pathway_Cardiovascular_Homeostasis	8.071313	-1.093292	1.650474	2.080538	0.138499	1.182672	-1.052288	4.180723	-0.515951	-2.882248	-3.880063	-7.880377	4.872563	5.509730	2.941814	5.534671	3.699558	-4.290956	3.920021	-8.348635	-1.636025	-3.258392	-4.558453	-2.203715	-0.710802	-4.186668	2.444160	-4.204454	-1.494774	2.183263	1.455051	10.190681	-8.256245	13.285869	7.167849	-4.282344
